q,h,dh,l,dl,f,df,s,m
 100, 0.038222, 0.000923,990.126111,-1.098515,-990.087889, 1.099439,990.164333,990.126111
 101, 0.039153, 0.000938,989.027604,-1.098499,-988.988451, 1.099437,989.066757,989.027604
 102, 0.040099, 0.000953,987.929113,-1.098482,-987.889015, 1.099436,987.969212,987.929113
 103, 0.041060, 0.000969,986.830639,-1.098466,-986.789580, 1.099434,986.871699,986.830639
 104, 0.042036, 0.000984,985.732182,-1.098449,-985.690146, 1.099433,985.774218,985.732182
 105, 0.043027, 0.000999,984.633742,-1.098432,-984.590715, 1.099431,984.676769,984.633742
 106, 0.044034, 0.001015,983.535319,-1.098415,-983.491284, 1.099430,983.579353,983.535319
 107, 0.045057, 0.001031,982.436913,-1.098397,-982.391855, 1.099428,982.481970,982.436913
 108, 0.046096, 0.001047,981.338524,-1.098380,-981.292428, 1.099427,981.384620,981.338524
 109, 0.047151, 0.001063,980.240153,-1.098362,-980.193002, 1.099425,980.287304,980.240153
 110, 0.048222, 0.001079,979.141800,-1.098344,-979.093578, 1.099423,979.190022,979.141800
 111, 0.049309, 0.001096,978.043465,-1.098326,-977.994155, 1.099422,978.092774,978.043465
 112, 0.050413, 0.001112,976.945148,-1.098308,-976.894734, 1.099420,976.995561,976.945148
 113, 0.051534, 0.001129,975.846849,-1.098290,-975.795315, 1.099419,975.898383,975.846849
 114, 0.052671, 0.001146,974.748569,-1.098271,-974.695897, 1.099417,974.801240,974.748569
 115, 0.053826, 0.001163,973.650307,-1.098252,-973.596481, 1.099415,973.704133,973.650307
 116, 0.054997, 0.001180,972.552064,-1.098233,-972.497067, 1.099414,972.607062,972.552064
 117, 0.056186, 0.001198,971.453840,-1.098214,-971.397654, 1.099412,971.510027,971.453840
 118, 0.057393, 0.001215,970.355636,-1.098195,-970.298243, 1.099410,970.413029,970.355636
 119, 0.058617, 0.001233,969.257451,-1.098175,-969.198833, 1.099408,969.316068,969.257451
 120, 0.059859, 0.001251,968.159285,-1.098156,-968.099426, 1.099407,968.219145,968.159285
 121, 0.061120, 0.001269,967.061140,-1.098136,-967.000020, 1.099405,967.122259,967.061140
 122, 0.062398, 0.001288,965.963014,-1.098116,-965.900616, 1.099403,966.025412,965.963014
 123, 0.063695, 0.001306,964.864908,-1.098095,-964.801214, 1.099401,964.928603,964.864908
 124, 0.065010, 0.001325,963.766823,-1.098075,-963.701813, 1.099400,963.831834,963.766823
 125, 0.066345, 0.001344,962.668759,-1.098054,-962.602414, 1.099398,962.735103,962.668759
 126, 0.067698, 0.001363,961.570715,-1.098033,-961.503017, 1.099396,961.638413,961.570715
 127, 0.069070, 0.001382,960.472692,-1.098012,-960.403622, 1.099394,960.541762,960.472692
 128, 0.070462, 0.001401,959.374691,-1.097991,-959.304229, 1.099392,959.445153,959.374691
 129, 0.071873, 0.001421,958.276711,-1.097969,-958.204838, 1.099390,958.348584,958.276711
 130, 0.073304, 0.001441,957.178752,-1.097948,-957.105449, 1.099388,957.252056,957.178752
 131, 0.074754, 0.001461,956.080816,-1.097926,-956.006061, 1.099386,956.155570,956.080816
 132, 0.076225, 0.001481,954.982901,-1.097904,-954.906676, 1.099384,955.059126,954.982901
 133, 0.077716, 0.001501,953.885009,-1.097881,-953.807292, 1.099383,953.962725,953.885009
 134, 0.079228, 0.001522,952.787139,-1.097859,-952.707911, 1.099381,952.866367,952.787139
 135, 0.080760, 0.001543,951.689292,-1.097836,-951.608531, 1.099379,951.770052,951.689292
 136, 0.082314, 0.001564,950.591467,-1.097813,-950.509154, 1.099376,950.673781,950.591467
 137, 0.083888, 0.001585,949.493666,-1.097790,-949.409778, 1.099374,949.577554,949.493666
 138, 0.085483, 0.001606,948.395888,-1.097766,-948.310405, 1.099372,948.481372,948.395888
 139, 0.087100, 0.001628,947.298134,-1.097742,-947.211034, 1.099370,947.385234,947.298134
 140, 0.088739, 0.001650,946.200404,-1.097718,-946.111664, 1.099368,946.289143,946.200404
 141, 0.090400, 0.001672,945.102697,-1.097694,-945.012297, 1.099366,945.193097,945.102697
 142, 0.092083, 0.001694,944.005015,-1.097670,-943.912932, 1.099364,944.097097,944.005015
 143, 0.093788, 0.001716,942.907357,-1.097645,-942.813570, 1.099362,943.001145,942.907357
 144, 0.095515, 0.001739,941.809724,-1.097621,-941.714209, 1.099360,941.905240,941.809724
 145, 0.097266, 0.001762,940.712116,-1.097595,-940.614851, 1.099357,940.809382,940.712116
 146, 0.099039, 0.001785,939.614533,-1.097570,-939.515494, 1.099355,939.713573,939.614533
 147, 0.100836, 0.001808,938.516976,-1.097545,-938.416140, 1.099353,938.617812,938.516976
 148, 0.102656, 0.001832,937.419444,-1.097519,-937.316789, 1.099351,937.522100,937.419444
 149, 0.104499, 0.001856,936.321939,-1.097493,-936.217439, 1.099348,936.426438,936.321939
 150, 0.106367, 0.001879,935.224459,-1.097466,-935.118092, 1.099346,935.330826,935.224459
 151, 0.108258, 0.001904,934.127006,-1.097440,-934.018748, 1.099344,934.235264,934.127006
 152, 0.110174, 0.001928,933.029579,-1.097413,-932.919405, 1.099341,933.139754,933.029579
 153, 0.112115, 0.001953,931.932180,-1.097386,-931.820065, 1.099339,932.044295,931.932180
 154, 0.114080, 0.001978,930.834808,-1.097359,-930.720728, 1.099336,930.948887,930.834808
 155, 0.116070, 0.002003,929.737463,-1.097331,-929.621392, 1.099334,929.853533,929.737463
 156, 0.118086, 0.002028,928.640145,-1.097303,-928.522060, 1.099332,928.758231,928.640145
 157, 0.120127, 0.002054,927.542856,-1.097275,-927.422729, 1.099329,927.662983,927.542856
 158, 0.122193, 0.002080,926.445595,-1.097247,-926.323402, 1.099327,926.567788,926.445595
 159, 0.124286, 0.002106,925.348362,-1.097218,-925.224076, 1.099324,925.472648,925.348362
 160, 0.126405, 0.002132,924.251159,-1.097189,-924.124754, 1.099321,924.377564,924.251159
 161, 0.128550, 0.002159,923.153984,-1.097160,-923.025433, 1.099319,923.282534,923.153984
 162, 0.130722, 0.002186,922.056838,-1.097131,-921.926116, 1.099316,922.187561,922.056838
 163, 0.132921, 0.002213,920.959722,-1.097101,-920.826801, 1.099314,921.092644,920.959722
 164, 0.135148, 0.002240,919.862636,-1.097071,-919.727489, 1.099311,919.997784,919.862636
 165, 0.137401, 0.002268,918.765580,-1.097041,-918.628179, 1.099308,918.902982,918.765580
 166, 0.139683, 0.002295,917.668555,-1.097010,-917.528872, 1.099306,917.808238,917.668555
 167, 0.141992, 0.002324,916.571560,-1.096979,-916.429568, 1.099303,916.713552,916.571560
 168, 0.144330, 0.002352,915.474596,-1.096948,-915.330266, 1.099300,915.618926,915.474596
 169, 0.146696, 0.002381,914.377663,-1.096917,-914.230967, 1.099297,914.524359,914.377663
 170, 0.149091, 0.002409,913.280762,-1.096885,-913.131671, 1.099295,913.429853,913.280762
 171, 0.151515, 0.002439,912.183893,-1.096853,-912.032378, 1.099292,912.335408,912.183893
 172, 0.153968, 0.002468,911.087056,-1.096821,-910.933088, 1.099289,911.241024,911.087056
 173, 0.156451, 0.002498,909.990251,-1.096788,-909.833800, 1.099286,910.146703,909.990251
 174, 0.158964, 0.002528,908.893479,-1.096755,-908.734515, 1.099283,909.052443,908.893479
 175, 0.161507, 0.002558,907.796740,-1.096722,-907.635234, 1.099280,907.958247,907.796740
 176, 0.164080, 0.002589,906.700035,-1.096689,-906.535955, 1.099277,906.864115,906.700035
 177, 0.166684, 0.002619,905.603363,-1.096655,-905.436679, 1.099274,905.770047,905.603363
 178, 0.169319, 0.002650,904.506725,-1.096621,-904.337406, 1.099271,904.676044,904.506725
 179, 0.171985, 0.002682,903.410121,-1.096586,-903.238137, 1.099268,903.582106,903.410121
 180, 0.174683, 0.002714,902.313552,-1.096552,-902.138870, 1.099265,902.488235,902.313552
 181, 0.177412, 0.002746,901.217018,-1.096517,-901.039606, 1.099262,901.394430,901.217018
 182, 0.180174, 0.002778,900.120519,-1.096481,-899.940346, 1.099259,900.300693,900.120519
 183, 0.182968, 0.002810,899.024056,-1.096446,-898.841088, 1.099256,899.207024,899.024056
 184, 0.185794, 0.002843,897.927628,-1.096409,-897.741834, 1.099253,898.113423,897.927628
 185, 0.188654, 0.002876,896.831237,-1.096373,-896.642583, 1.099249,897.019891,896.831237
 186, 0.191547, 0.002910,895.734882,-1.096336,-895.543335, 1.099246,895.926429,895.734882
 187, 0.194474, 0.002944,894.638564,-1.096299,-894.444090, 1.099243,894.833038,894.638564
 188, 0.197434, 0.002978,893.542283,-1.096262,-893.344849, 1.099240,893.739718,893.542283
 189, 0.200429, 0.003012,892.446040,-1.096224,-892.245611, 1.099236,892.646469,892.446040
 190, 0.203458, 0.003047,891.349835,-1.096186,-891.146376, 1.099233,891.553293,891.349835
 191, 0.206523, 0.003082,890.253668,-1.096148,-890.047145, 1.099230,890.460190,890.253668
 192, 0.209622, 0.003117,889.157539,-1.096109,-888.947917, 1.099226,889.367161,889.157539
 193, 0.212757, 0.003153,888.061449,-1.096070,-887.848693, 1.099223,888.274206,888.061449
 194, 0.215927, 0.003189,886.965399,-1.096031,-886.749472, 1.099219,887.181326,886.965399
 195, 0.219134, 0.003225,885.869388,-1.095991,-885.650254, 1.099216,886.088522,885.869388
 196, 0.222377, 0.003261,884.773417,-1.095951,-884.551040, 1.099212,884.995794,884.773417
 197, 0.225657, 0.003298,883.677487,-1.095910,-883.451830, 1.099209,883.903144,883.677487
 198, 0.228974, 0.003336,882.581597,-1.095869,-882.352623, 1.099205,882.810571,882.581597
 199, 0.232328, 0.003373,881.485748,-1.095828,-881.253420, 1.099201,881.718076,881.485748
 200, 0.235721, 0.003411,880.389940,-1.095787,-880.154220, 1.099198,880.625661,880.389940
 201, 0.239151, 0.003449,879.294175,-1.095745,-879.055024, 1.099194,879.533326,879.294175
 202, 0.242620, 0.003488,878.198451,-1.095702,-877.955832, 1.099190,878.441071,878.198451
 203, 0.246127, 0.003527,877.102770,-1.095660,-876.856643, 1.099187,877.348898,877.102770
 204, 0.249674, 0.003566,876.007132,-1.095616,-875.757459, 1.099183,876.256806,876.007132
 205, 0.253260, 0.003606,874.911538,-1.095573,-874.658278, 1.099179,875.164798,874.911538
 206, 0.256886, 0.003646,873.815987,-1.095529,-873.559101, 1.099175,874.072873,873.815987
 207, 0.260552, 0.003686,872.720480,-1.095485,-872.459928, 1.099171,872.981032,872.720480
 208, 0.264259, 0.003727,871.625017,-1.095440,-871.360758, 1.099167,871.889276,871.625017
 209, 0.268006, 0.003768,870.529599,-1.095395,-870.261593, 1.099163,870.797606,870.529599
 210, 0.271795, 0.003810,869.434227,-1.095350,-869.162432, 1.099159,869.706022,869.434227
 211, 0.275626, 0.003851,868.338900,-1.095304,-868.063275, 1.099155,868.614526,868.338900
 212, 0.279498, 0.003894,867.243620,-1.095258,-866.964121, 1.099151,867.523118,867.243620
 213, 0.283413, 0.003936,866.148385,-1.095211,-865.864972, 1.099147,866.431798,866.148385
 214, 0.287370, 0.003979,865.053198,-1.095164,-864.765827, 1.099143,865.340568,865.053198
 215, 0.291371, 0.004022,863.958058,-1.095116,-863.666687, 1.099139,864.249429,863.958058
 216, 0.295415, 0.004066,862.862965,-1.095068,-862.567550, 1.099135,863.158380,862.862965
 217, 0.299503, 0.004110,861.767921,-1.095020,-861.468418, 1.099130,862.067424,861.767921
 218, 0.303635, 0.004155,860.672925,-1.094971,-860.369289, 1.099126,860.976560,860.672925
 219, 0.307812, 0.004199,859.577978,-1.094922,-859.270166, 1.099122,859.885790,859.577978
 220, 0.312034, 0.004245,858.483081,-1.094873,-858.171046, 1.099117,858.795115,858.483081
 221, 0.316302, 0.004290,857.388233,-1.094823,-857.071931, 1.099113,857.704534,857.388233
 222, 0.320615, 0.004336,856.293435,-1.094772,-855.972821, 1.099108,856.614050,856.293435
 223, 0.324974, 0.004383,855.198689,-1.094721,-854.873714, 1.099104,855.523663,855.198689
 224, 0.329380, 0.004429,854.103993,-1.094670,-853.774613, 1.099099,854.433373,854.103993
 225, 0.333833, 0.004477,853.009349,-1.094618,-852.675516, 1.099095,853.343182,853.009349
 226, 0.338334, 0.004524,851.914757,-1.094566,-851.576423, 1.099090,852.253090,851.914757
 227, 0.342882, 0.004572,850.820217,-1.094513,-850.477335, 1.099086,851.163099,850.820217
 228, 0.347478, 0.004621,849.725730,-1.094460,-849.378252, 1.099081,850.073208,849.725730
 229, 0.352124, 0.004670,848.631297,-1.094407,-848.279173, 1.099076,848.983420,848.631297
 230, 0.356818, 0.004719,847.536917,-1.094353,-847.180099, 1.099071,847.893735,847.536917
 231, 0.361562, 0.004769,846.442592,-1.094298,-846.081030, 1.099067,846.804153,846.442592
 232, 0.366355, 0.004819,845.348321,-1.094243,-844.981966, 1.099062,845.714676,845.348321
 233, 0.371199, 0.004869,844.254106,-1.094188,-843.882907, 1.099057,844.625305,844.254106
 234, 0.376094, 0.004920,843.159946,-1.094132,-842.783852, 1.099052,843.536040,843.159946
 235, 0.381040, 0.004972,842.065843,-1.094075,-841.684803, 1.099047,842.446883,842.065843
