q,h,dh,l,dl,f,df,my,s,m
  91, 0.030494, 0.000796,1000.013386,-1.098655,-999.982892, 1.099451,1000.043796,1000.043880,1000.013386
  92, 0.031297, 0.000810,998.914738,-1.098640,-998.883442, 1.099450,998.945949,998.946035,998.914738
  93, 0.032113, 0.000823,997.816106,-1.098625,-997.783993, 1.099448,997.848130,997.848219,997.816106
  94, 0.032943, 0.000837,996.717488,-1.098610,-996.684545, 1.099447,996.750341,996.750431,996.717488
  95, 0.033787, 0.000851,995.618886,-1.098594,-995.585099, 1.099446,995.652581,995.652673,995.618886
  96, 0.034645, 0.000865,994.520300,-1.098579,-994.485654, 1.099444,994.554850,994.554945,994.520300
  97, 0.035518, 0.000880,993.421729,-1.098563,-993.386211, 1.099443,993.457149,993.457247,993.421729
  98, 0.036405, 0.000894,992.323173,-1.098547,-992.286769, 1.099441,992.359478,992.359578,992.323173
  99, 0.037306, 0.000909,991.224634,-1.098531,-991.187328, 1.099440,991.261838,991.261940,991.224634
 100, 0.038222, 0.000923,990.126111,-1.098515,-990.087889, 1.099439,990.164228,990.164333,990.126111
 101, 0.039153, 0.000938,989.027604,-1.098499,-988.988451, 1.099437,989.066649,989.066757,989.027604
 102, 0.040099, 0.000953,987.929113,-1.098482,-987.889015, 1.099436,987.969102,987.969212,987.929113
 103, 0.041060, 0.000969,986.830639,-1.098466,-986.789580, 1.099434,986.871586,986.871699,986.830639
 104, 0.042036, 0.000984,985.732182,-1.098449,-985.690146, 1.099433,985.774102,985.774218,985.732182
 105, 0.043027, 0.000999,984.633742,-1.098432,-984.590715, 1.099431,984.676651,984.676769,984.633742
 106, 0.044034, 0.001015,983.535319,-1.098415,-983.491284, 1.099430,983.579232,983.579353,983.535319
 107, 0.045057, 0.001031,982.436913,-1.098397,-982.391855, 1.099428,982.481846,982.481970,982.436913
 108, 0.046096, 0.001047,981.338524,-1.098380,-981.292428, 1.099427,981.384493,981.384620,981.338524
 109, 0.047151, 0.001063,980.240153,-1.098362,-980.193002, 1.099425,980.287174,980.287304,980.240153
 110, 0.048222, 0.001079,979.141800,-1.098344,-979.093578, 1.099423,979.189889,979.190022,979.141800
 111, 0.049309, 0.001096,978.043465,-1.098326,-977.994155, 1.099422,978.092638,978.092774,978.043465
 112, 0.050413, 0.001112,976.945148,-1.098308,-976.894734, 1.099420,976.995422,976.995561,976.945148
 113, 0.051534, 0.001129,975.846849,-1.098290,-975.795315, 1.099419,975.898241,975.898383,975.846849
 114, 0.052671, 0.001146,974.748569,-1.098271,-974.695897, 1.099417,974.801095,974.801240,974.748569
 115, 0.053826, 0.001163,973.650307,-1.098252,-973.596481, 1.099415,973.703984,973.704133,973.650307
 116, 0.054997, 0.001180,972.552064,-1.098233,-972.497067, 1.099414,972.606910,972.607062,972.552064
