q,f,df
 326,-3375.300747, 4.950287
 327,-3370.350674, 4.949859
 328,-3365.401029, 4.949429
 329,-3360.451818, 4.948995
 330,-3355.503041, 4.948557
 331,-3350.554704, 4.948117
 332,-3345.606809, 4.947673
 333,-3340.659359, 4.947226
 334,-3335.712358, 4.946775
 335,-3330.765810, 4.946322
 336,-3325.819716, 4.945864
 337,-3320.874082, 4.945404
 338,-3315.928910, 4.944940
 339,-3310.984203, 4.944473
 340,-3306.039966, 4.944002
 341,-3301.096201, 4.943527
 342,-3296.152912, 4.943050
 343,-3291.210103, 4.942568
 344,-3286.267776, 4.942084
 345,-3281.325937, 4.941595
 346,-3276.384587, 4.941103
 347,-3271.443731, 4.940608
 348,-3266.503373, 4.940109
 349,-3261.563515, 4.939606
 350,-3256.624162, 4.939100
 351,-3251.685317, 4.938590
 352,-3246.746984, 4.938076
 353,-3241.809166, 4.937558
 354,-3236.871868, 4.937037
 355,-3231.935093, 4.936512
 356,-3226.998845, 4.935984
 357,-3222.063127, 4.935451
 358,-3217.127944, 4.934915
 359,-3212.193299, 4.934375
 360,-3207.259196, 4.933831
 361,-3202.325639, 4.933283
 362,-3197.392632, 4.932731
 363,-3192.460179, 4.932175
 364,-3187.528283, 4.931615
 365,-3182.596949, 4.931052
 366,-3177.666181, 4.930484
 367,-3172.735982, 4.929913
 368,-3167.806357, 4.929337
 369,-3162.877310, 4.928757
 370,-3157.948845, 4.928173
 371,-3153.020965, 4.927585
 372,-3148.093675, 4.926993
 373,-3143.166980, 4.926397
 374,-3138.240882, 4.925797
 375,-3133.315387, 4.925192
 376,-3128.390499, 4.924584
 377,-3123.466222, 4.923971
 378,-3118.542559, 4.923353
 379,-3113.619517, 4.922732
 380,-3108.697097, 4.922106
 381,-3103.775306, 4.921476
 382,-3098.854147, 4.920841
 383,-3093.933625, 4.920202
 384,-3089.013744, 4.919559
 385,-3084.094508, 4.918912
 386,-3079.175922, 4.918259
 387,-3074.257990, 4.917603
 388,-3069.340718, 4.916942
 389,-3064.424108, 4.916276
 390,-3059.508167, 4.915606
 391,-3054.592898, 4.914931
 392,-3049.678305, 4.914252
 393,-3044.764395, 4.913568
 394,-3039.851170, 4.912880
 395,-3034.938636, 4.912187
 396,-3030.026798, 4.911489
 397,-3025.115660, 4.910787
 398,-3020.205226, 4.910079
 399,-3015.295503, 4.909367
 400,-3010.386493, 4.908651
 401,-3005.478203, 4.907929
 402,-3000.570636, 4.907203
 403,-2995.663799, 4.906472
 404,-2990.757695, 4.905736
 405,-2985.852329, 4.904995
 406,-2980.947707, 4.904249
 407,-2976.043833, 4.903498
 408,-2971.140712, 4.902742
 409,-2966.238350, 4.901982
 410,-2961.336750, 4.901216
 411,-2956.435919, 4.900445
 412,-2951.535862, 4.899669
 413,-2946.636582, 4.898888
 414,-2941.738086, 4.898102
 415,-2936.840379, 4.897311
 416,-2931.943465, 4.896515
 417,-2927.047351, 4.895714
 418,-2922.152040, 4.894907
 419,-2917.257539, 4.894095
 420,-2912.363852, 4.893278
 421,-2907.470985, 4.892455
 422,-2902.578943, 4.891628
 423,-2897.687732, 4.890794
 424,-2892.797356, 4.889956
 425,-2887.907821, 4.889112
 426,-2883.019133, 4.888263
 427,-2878.131297, 4.887408
 428,-2873.244319, 4.886548
 429,-2868.358203, 4.885683
 430,-2863.472955, 4.884811
 431,-2858.588582, 4.883935
 432,-2853.705088, 4.883053
 433,-2848.822478, 4.882165
 434,-2843.940760, 4.881271
 435,-2839.059937, 4.880372
 436,-2834.180017, 4.879468
 437,-2829.301004, 4.878557
 438,-2824.422904, 4.877641
 439,-2819.545723, 4.876719
 440,-2814.669467, 4.875792
 441,-2809.794142, 4.874858
 442,-2804.919752, 4.873919
 443,-2800.046305, 4.872974
 444,-2795.173806, 4.872023
 445,-2790.302260, 4.871067
 446,-2785.431674, 4.870104
 447,-2780.562054, 4.869135
 448,-2775.693405, 4.868161
 449,-2770.825735, 4.867180
 450,-2765.959047, 4.866194
 451,-2761.093349, 4.865201
 452,-2756.228647, 4.864202
 453,-2751.364947, 4.863197
 454,-2746.502255, 4.862186
 455,-2741.640576, 4.861169
 456,-2736.779918, 4.860146
 457,-2731.920286, 4.859117
 458,-2727.061687, 4.858081
 459,-2722.204126, 4.857039
 460,-2717.347611, 4.855991
 461,-2712.492147, 4.854936
 462,-2707.637741, 4.853875
 463,-2702.784398, 4.852808
 464,-2697.932126, 4.851735
 465,-2693.080931, 4.850655
 466,-2688.230819, 4.849568
 467,-2683.381797, 4.848475
 468,-2678.533871, 4.847376
 469,-2673.687048, 4.846270
 470,-2668.841333, 4.845157
 471,-2663.996735, 4.844038
 472,-2659.153259, 4.842913
 473,-2654.310911, 4.841781
 474,-2649.469700, 4.840642
 475,-2644.629630, 4.839496
 476,-2639.790710, 4.838344
 477,-2634.952944, 4.837185
 478,-2630.116342, 4.836019
 479,-2625.280908, 4.834847
 480,-2620.446650, 4.833668
 481,-2615.613575, 4.832481
 482,-2610.781690, 4.831288
 483,-2605.951001, 4.830089
 484,-2601.121515, 4.828882
 485,-2596.293240, 4.827668
 486,-2591.466181, 4.826447
 487,-2586.640347, 4.825220
 488,-2581.815744, 4.823985
 489,-2576.992379, 4.822743
 490,-2572.170260, 4.821495
 491,-2567.349392, 4.820239
 492,-2562.529785, 4.818976
 493,-2557.711443, 4.817706
 494,-2552.894376, 4.816428
 495,-2548.078589, 4.815144
 496,-2543.264090, 4.813852
 497,-2538.450887, 4.812553
 498,-2533.638986, 4.811247
 499,-2528.828396, 4.809933
 500,-2524.019122, 4.808613
 501,-2519.211173, 4.807284
 502,-2514.404556, 4.805949
 503,-2509.599278, 4.804606
 504,-2504.795347, 4.803255
 505,-2499.992770, 4.801897
 506,-2495.191555, 4.800532
 507,-2490.391708, 4.799159
 508,-2485.593239, 4.797779
 509,-2480.796154, 4.796391
 510,-2476.000460, 4.794995
 511,-2471.206166, 4.793592
 512,-2466.413279, 4.792181
 513,-2461.621806, 4.790763
 514,-2456.831756, 4.789336
 515,-2452.043136, 4.787903
 516,-2447.255953, 4.786461
 517,-2442.470217, 4.785012
 518,-2437.685933, 4.783554
 519,-2432.903111, 4.782089
 520,-2428.121757, 4.780616
 521,-2423.341880, 4.779136
 522,-2418.563488, 4.777647
 523,-2413.786589, 4.776151
 524,-2409.011190, 4.774646
 525,-2404.237299, 4.773134
 526,-2399.464925, 4.771613
 527,-2394.694076, 4.770085
 528,-2389.924759, 4.768548
 529,-2385.156982, 4.767003
 530,-2380.390755, 4.765451
 531,-2375.626084, 4.763890
 532,-2370.862977, 4.762321
 533,-2366.101444, 4.760744
 534,-2361.341493, 4.759158
 535,-2356.583130, 4.757565
 536,-2351.826366, 4.755963
 537,-2347.071207, 4.754353
 538,-2342.317662, 4.752735
 539,-2337.565740, 4.751108
 540,-2332.815449, 4.749473
 541,-2328.066797, 4.747829
 542,-2323.319793, 4.746178
 543,-2318.574445, 4.744517
 544,-2313.830761, 4.742849
 545,-2309.088751, 4.741172
 546,-2304.348421, 4.739486
 547,-2299.609782, 4.737792
 548,-2294.872840, 4.736089
 549,-2290.137606, 4.734378
 550,-2285.404088, 4.732658
 551,-2280.672293, 4.730929
 552,-2275.942232, 4.729192
 553,-2271.213912, 4.727447
 554,-2266.487342, 4.725692
 555,-2261.762530, 4.723929
 556,-2257.039486, 4.722157
 557,-2252.318219, 4.720376
 558,-2247.598736, 4.718587
 559,-2242.881048, 4.716789
 560,-2238.165162, 4.714982
 561,-2233.451087, 4.713166
 562,-2228.738833, 4.711341
 563,-2224.028408, 4.709508
